date,price1,price2,choice
2021-02-04 11:17:00+05:30,88.55,88.5,R
2021-02-04 11:18:00+05:30,88.6,88.55,R
2021-02-04 11:19:00+05:30,88.55,88.3,R
2021-02-04 11:20:00+05:30,88.3,88.15,R
2021-02-04 11:21:00+05:30,88.2,88.15,R
2021-02-04 12:38:00+05:30,88.5,88.45,R
2021-02-04 12:39:00+05:30,88.5,88.4,R
2021-02-04 12:40:00+05:30,88.45,88.4,R
2021-02-04 14:54:00+05:30,89.9,89.8,R
2021-02-04 14:55:00+05:30,89.85,89.8,R
2021-02-04 14:56:00+05:30,89.85,89.8,R
2021-02-04 14:55:00+05:30,89.85,89.8,R
2021-02-04 14:56:00+05:30,89.85,89.8,R
2021-02-04 14:57:00+05:30,89.85,89.8,R
2021-02-05 09:58:00+05:30,86.9,86.65,R
2021-02-05 09:59:00+05:30,86.65,86.35,R
2021-02-05 10:00:00+05:30,86.45,86.4,R
2021-02-05 11:25:00+05:30,88.55,88.5,R
2021-02-05 11:26:00+05:30,88.5,88.3,R
2021-02-05 11:27:00+05:30,88.4,88.3,R
2021-02-05 12:24:00+05:30,89.9,89.55,R
2021-02-05 12:25:00+05:30,89.6,89.45,R
2021-02-05 12:26:00+05:30,89.5,89.45,R
2021-02-05 13:32:00+05:30,87.95,87.55,R
2021-02-05 13:33:00+05:30,87.55,87.35,R
2021-02-05 13:34:00+05:30,87.5,87.4,R
2021-02-08 09:57:00+05:30,90.75,90.7,R
2021-02-08 09:58:00+05:30,90.7,90.6,R
2021-02-08 09:59:00+05:30,90.7,90.65,R
2021-02-08 10:38:00+05:30,89.7,89.55,R
2021-02-08 10:39:00+05:30,89.6,89.5,R
2021-02-08 10:40:00+05:30,89.55,89.5,R
2021-02-08 12:00:00+05:30,90.0,89.9,R
2021-02-08 12:01:00+05:30,89.95,89.85,R
2021-02-08 12:02:00+05:30,89.9,89.85,R
2021-02-08 13:26:00+05:30,90.05,90.0,R
2021-02-08 13:27:00+05:30,90.05,90.0,R
2021-02-08 13:28:00+05:30,90.05,90.0,R
2021-02-08 13:40:00+05:30,90.1,90.0,R
2021-02-08 13:41:00+05:30,90.1,89.9,R
2021-02-08 13:42:00+05:30,89.95,89.9,R
2021-02-08 13:41:00+05:30,90.1,89.9,R
2021-02-08 13:42:00+05:30,89.95,89.9,R
2021-02-08 13:43:00+05:30,90.0,89.9,R
2021-02-08 13:49:00+05:30,90.05,90.0,R
2021-02-08 13:50:00+05:30,90.0,89.95,R
2021-02-08 13:51:00+05:30,90.0,89.95,R
2021-02-08 14:01:00+05:30,90.2,90.15,R
2021-02-08 14:02:00+05:30,90.2,90.1,R
2021-02-08 14:03:00+05:30,90.15,90.1,R
2021-02-08 14:03:00+05:30,90.15,90.1,R
2021-02-08 14:04:00+05:30,90.15,90.05,R
2021-02-08 14:05:00+05:30,90.1,90.05,R
2021-02-08 14:04:00+05:30,90.15,90.05,R
2021-02-08 14:05:00+05:30,90.1,90.05,R
2021-02-08 14:06:00+05:30,90.1,90.05,R
2021-02-08 14:56:00+05:30,90.0,89.95,R
2021-02-08 14:57:00+05:30,89.95,89.85,R
2021-02-08 14:58:00+05:30,89.9,89.85,R
2021-02-08 14:57:00+05:30,89.95,89.85,R
2021-02-08 14:58:00+05:30,89.9,89.85,R
2021-02-08 14:59:00+05:30,89.9,89.85,R
2021-02-08 15:23:00+05:30,90.0,89.95,R
2021-02-08 15:24:00+05:30,90.0,89.9,R
2021-02-08 15:25:00+05:30,90.0,89.95,R
2021-02-08 15:28:00+05:30,89.95,89.9,R
2021-02-08 15:29:00+05:30,89.95,89.9,R
2021-02-09 09:15:00+05:30,90.15,90.05,R
2021-02-09 10:04:00+05:30,88.9,88.85,R
2021-02-09 10:05:00+05:30,88.9,88.85,R
2021-02-09 10:06:00+05:30,88.95,88.9,R
2021-02-09 11:41:00+05:30,88.3,88.25,R
2021-02-09 11:42:00+05:30,88.25,88.15,R
2021-02-09 11:43:00+05:30,88.2,88.15,R
2021-02-09 12:19:00+05:30,88.0,87.95,R
2021-02-09 12:20:00+05:30,88.0,87.95,R
2021-02-09 12:21:00+05:30,88.0,87.95,R
2021-02-09 14:44:00+05:30,87.5,87.4,R
2021-02-09 14:45:00+05:30,87.4,87.15,R
2021-02-09 14:46:00+05:30,87.25,87.2,R
2021-02-10 09:23:00+05:30,87.4,87.15,R
2021-02-10 09:24:00+05:30,87.15,86.7,R
2021-02-10 09:25:00+05:30,86.8,86.7,R
2021-02-10 09:36:00+05:30,87.5,87.45,R
2021-02-10 09:37:00+05:30,87.5,87.3,R
2021-02-10 09:38:00+05:30,87.35,87.3,R
2021-02-10 12:13:00+05:30,88.85,88.8,R
2021-02-10 12:14:00+05:30,88.8,88.7,R
2021-02-10 12:15:00+05:30,88.75,88.7,R
2021-02-10 12:45:00+05:30,89.8,89.55,R
2021-02-10 12:46:00+05:30,89.55,89.3,R
2021-02-10 12:47:00+05:30,89.35,89.3,R
2021-02-10 13:04:00+05:30,88.6,88.55,R
2021-02-10 13:05:00+05:30,88.5,88.45,R
2021-02-10 13:06:00+05:30,88.5,88.45,R
2021-02-10 13:25:00+05:30,88.0,87.85,R
2021-02-10 13:26:00+05:30,87.85,87.8,R
2021-02-10 13:27:00+05:30,87.85,87.8,R
2021-02-10 13:27:00+05:30,87.85,87.8,R
2021-02-10 13:28:00+05:30,87.85,87.65,R
2021-02-10 13:29:00+05:30,87.7,87.65,R
2021-02-10 14:25:00+05:30,88.2,88.15,R
2021-02-10 14:26:00+05:30,88.2,88.05,R
2021-02-10 14:27:00+05:30,88.1,88.05,R
2021-02-11 09:40:00+05:30,88.75,88.6,R
2021-02-11 09:41:00+05:30,88.6,88.55,R
2021-02-11 09:42:00+05:30,88.6,88.55,R
2021-02-11 13:32:00+05:30,87.8,87.7,R
2021-02-11 13:33:00+05:30,87.75,87.7,R
2021-02-11 13:34:00+05:30,87.75,87.7,R
2021-02-11 14:53:00+05:30,87.8,87.75,R
2021-02-11 14:54:00+05:30,87.75,87.7,R
2021-02-11 14:55:00+05:30,87.8,87.7,R
2021-02-12 10:00:00+05:30,87.75,87.65,R
2021-02-12 10:01:00+05:30,87.65,87.6,R
2021-02-12 10:02:00+05:30,87.65,87.6,R
2021-02-15 10:58:00+05:30,88.45,88.3,R
2021-02-15 10:59:00+05:30,88.3,88.2,R
2021-02-15 11:00:00+05:30,88.25,88.2,R
2021-02-15 10:59:00+05:30,88.3,88.2,R
2021-02-15 11:00:00+05:30,88.25,88.2,R
2021-02-15 11:01:00+05:30,88.25,88.2,R
2021-02-15 12:46:00+05:30,87.65,87.6,R
2021-02-15 12:47:00+05:30,87.6,87.5,R
2021-02-15 12:48:00+05:30,87.55,87.5,R
2021-02-15 13:21:00+05:30,87.85,87.75,R
2021-02-15 13:22:00+05:30,87.75,87.65,R
2021-02-15 13:23:00+05:30,87.7,87.65,R
2021-02-15 14:46:00+05:30,86.95,86.85,R
2021-02-15 14:47:00+05:30,86.85,86.75,R
2021-02-15 14:48:00+05:30,86.85,86.75,R
2021-02-16 10:00:00+05:30,87.1,87.05,R
2021-02-16 10:01:00+05:30,87.05,86.9,R
2021-02-16 10:02:00+05:30,87.0,86.9,R
2021-02-16 11:25:00+05:30,87.55,87.4,R
2021-02-16 11:26:00+05:30,87.4,87.35,R
2021-02-16 11:27:00+05:30,87.45,87.4,R
2021-02-16 12:15:00+05:30,88.05,87.95,R
2021-02-16 12:16:00+05:30,87.95,87.9,R
2021-02-16 12:17:00+05:30,87.95,87.9,R
2021-02-16 13:10:00+05:30,88.15,88.1,R
2021-02-16 13:11:00+05:30,88.1,87.95,R
2021-02-16 13:12:00+05:30,88.05,88.0,R
2021-02-17 09:31:00+05:30,91.2,90.9,R
2021-02-17 09:32:00+05:30,90.95,90.8,R
2021-02-17 09:33:00+05:30,90.9,90.8,R
2021-02-17 09:38:00+05:30,90.85,90.75,R
2021-02-17 09:39:00+05:30,90.7,90.65,R
2021-02-17 09:40:00+05:30,90.7,90.65,R
2021-02-17 09:53:00+05:30,90.75,90.6,R
2021-02-17 09:54:00+05:30,90.65,90.45,R
2021-02-17 09:55:00+05:30,90.5,90.45,R
2021-02-17 11:59:00+05:30,91.4,91.35,R
2021-02-17 12:00:00+05:30,91.4,91.35,R
2021-02-17 12:01:00+05:30,91.4,91.35,R
2021-02-18 10:09:00+05:30,91.4,91.35,R
2021-02-18 10:10:00+05:30,91.4,91.3,R
2021-02-18 10:11:00+05:30,91.35,91.3,R
2021-02-18 10:49:00+05:30,91.75,91.65,R
2021-02-18 10:50:00+05:30,91.65,91.6,R
2021-02-18 10:51:00+05:30,91.7,91.6,R
2021-02-18 11:58:00+05:30,91.35,91.3,R
2021-02-18 11:59:00+05:30,91.35,91.3,R
2021-02-18 12:00:00+05:30,91.4,91.35,R
2021-02-18 12:05:00+05:30,91.4,91.25,R
2021-02-18 12:06:00+05:30,91.25,91.2,R
2021-02-18 12:07:00+05:30,91.3,91.25,R
2021-02-18 13:15:00+05:30,91.9,91.75,R
2021-02-18 13:16:00+05:30,91.75,91.65,R
2021-02-18 13:17:00+05:30,91.7,91.65,R
2021-02-18 13:16:00+05:30,91.75,91.65,R
2021-02-18 13:17:00+05:30,91.7,91.65,R
2021-02-18 13:18:00+05:30,91.7,91.65,R
2021-02-18 13:19:00+05:30,91.65,91.5,R
2021-02-18 13:20:00+05:30,91.5,91.4,R
2021-02-18 13:21:00+05:30,91.45,91.4,R
2021-02-18 14:50:00+05:30,93.3,93.2,R
2021-02-18 14:51:00+05:30,93.2,93.1,R
2021-02-18 14:52:00+05:30,93.2,93.1,R
2021-02-18 15:29:00+05:30,93.25,93.2,R
2021-02-19 09:15:00+05:30,93.4,92.95,R
2021-02-19 09:16:00+05:30,93.0,92.95,R
2021-02-19 12:59:00+05:30,93.45,93.35,R
2021-02-19 13:00:00+05:30,93.35,93.2,R
2021-02-19 13:01:00+05:30,93.25,93.2,R
2021-02-19 15:15:00+05:30,91.6,91.5,R
2021-02-19 15:16:00+05:30,91.45,91.0,R
2021-02-19 15:17:00+05:30,91.15,91.0,R
2021-02-22 09:19:00+05:30,91.0,90.8,R
2021-02-22 09:20:00+05:30,90.8,90.35,R
2021-02-22 09:21:00+05:30,90.5,90.4,R
2021-02-22 10:25:00+05:30,91.25,91.1,R
2021-02-22 10:26:00+05:30,91.2,91.05,R
2021-02-22 10:27:00+05:30,91.1,91.05,R
2021-02-22 11:10:00+05:30,91.3,91.2,R
2021-02-22 11:11:00+05:30,91.2,91.1,R
2021-02-22 11:12:00+05:30,91.15,91.1,R
2021-02-22 11:19:00+05:30,91.1,90.8,R
2021-02-22 11:20:00+05:30,90.8,90.7,R
2021-02-22 11:21:00+05:30,90.75,90.7,R
2021-02-23 09:38:00+05:30,90.85,90.8,R
2021-02-23 09:39:00+05:30,90.75,90.7,R
2021-02-23 09:40:00+05:30,90.8,90.75,R
2021-02-23 10:34:00+05:30,91.75,91.65,R
2021-02-23 10:35:00+05:30,91.75,91.55,R
2021-02-23 10:36:00+05:30,91.65,91.6,R
2021-02-23 12:47:00+05:30,90.9,90.85,R
2021-02-23 12:48:00+05:30,90.85,90.8,R
2021-02-23 12:49:00+05:30,90.9,90.8,R
2021-02-23 13:39:00+05:30,90.8,90.75,R
2021-02-23 13:40:00+05:30,90.75,90.7,R
2021-02-23 13:41:00+05:30,90.75,90.7,R
2021-02-23 13:49:00+05:30,90.95,90.9,R
2021-02-23 13:50:00+05:30,90.9,90.85,R
2021-02-23 13:51:00+05:30,90.9,90.85,R
2021-02-24 09:51:00+05:30,93.75,93.65,R
2021-02-24 09:52:00+05:30,93.65,93.6,R
2021-02-24 09:53:00+05:30,93.65,93.6,R
2021-02-24 11:01:00+05:30,93.7,93.6,R
2021-02-24 11:02:00+05:30,93.7,93.55,R
2021-02-24 11:03:00+05:30,93.6,93.55,R
2021-02-24 11:37:00+05:30,93.1,93.0,R
2021-02-24 11:38:00+05:30,93.0,92.9,R
2021-02-24 11:39:00+05:30,93.0,92.95,R
2021-02-24 16:43:00+05:30,94.45,94.4,R
2021-02-24 16:44:00+05:30,94.35,94.3,R
2021-02-24 16:45:00+05:30,94.35,94.3,R
2021-02-24 16:44:00+05:30,94.35,94.3,R
2021-02-24 16:45:00+05:30,94.35,94.3,R
2021-02-24 16:46:00+05:30,94.4,94.3,R
2021-02-25 11:41:00+05:30,96.65,96.5,R
2021-02-25 11:42:00+05:30,96.55,96.4,R
2021-02-25 11:43:00+05:30,96.45,96.4,R
2021-02-25 12:01:00+05:30,96.65,96.6,R
2021-02-25 12:02:00+05:30,96.6,96.4,R
2021-02-25 12:03:00+05:30,96.45,96.4,R
2021-02-25 12:10:00+05:30,96.85,96.7,R
2021-02-25 12:11:00+05:30,96.7,96.5,R
2021-02-25 12:12:00+05:30,96.6,96.55,R
2021-02-25 12:54:00+05:30,96.7,96.6,R
2021-02-25 12:55:00+05:30,96.65,96.6,R
2021-02-25 12:56:00+05:30,96.65,96.6,R
2021-02-25 13:26:00+05:30,97.25,97.15,R
2021-02-25 13:27:00+05:30,97.2,97.05,R
2021-02-25 13:28:00+05:30,97.1,97.05,R
2021-02-25 13:47:00+05:30,97.25,97.2,R
2021-02-25 13:48:00+05:30,97.15,97.05,R
2021-02-25 13:49:00+05:30,97.1,97.05,R
2021-02-25 13:48:00+05:30,97.15,97.05,R
2021-02-25 13:49:00+05:30,97.1,97.05,R
2021-02-25 13:50:00+05:30,97.1,97.05,R
2021-02-25 14:05:00+05:30,96.2,96.05,R
2021-02-25 14:06:00+05:30,96.0,95.9,R
2021-02-25 14:07:00+05:30,96.0,95.95,R
2021-02-26 13:11:00+05:30,93.95,93.9,R
2021-02-26 13:12:00+05:30,94.0,93.8,R
2021-02-26 13:13:00+05:30,93.85,93.8,R
